W_term,W1END0,W1END1,W1END2,W1END3,W1END4,W1END5,W2END0,W2END1,W2END2,W2END3,W2END4,W2END5
E1BEG0,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG1,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG2,0,0,0,0,0,0,0,0,0,0,0,0
E1BEG3,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG0,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG1,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG2,0,0,0,0,0,0,0,0,0,0,0,0
E2BEG3,0,0,0,0,0,0,0,0,0,0,0,0
